psi,theta,phi,x,y,z
-3.015928947,0.79402009,0,-0.707553432,-0.089384785,0.700983952
-3.015928947,0.810897424,0,-0.719189557,-0.09085477,0.688848163
-3.015928947,0.827774758,0,-0.73062083,-0.092298875,0.676516164
-3.015928947,0.844652092,0,-0.741843995,-0.093716691,0.663991468
-3.015928947,0.861529425,0,-0.752855854,-0.095107812,0.651277642
-3.015928947,0.878406759,0,-0.763653272,-0.096471843,0.638378308
-3.015928947,0.895284093,0,-0.774233173,-0.097808395,0.625297139
-3.015928947,0.912161427,0,-0.784592542,-0.099117088,0.612037863
-3.015928947,0.929038761,0,-0.794728431,-0.100397549,0.598604254
-3.015928947,0.945916095,0,-0.804637951,-0.101649412,0.585000141
-3.015928947,0.962793429,0,-0.814318279,-0.102872322,0.571229398
-3.015928947,0.979670762,0,-0.823766659,-0.10406593,0.557295948
-3.015928947,0.996548096,0,-0.8329804,-0.105229896,0.543203758
-3.015928947,1.01342543,0,-0.841956876,-0.106363889,0.528956843
-3.015928947,1.030302764,0,-0.850693531,-0.107467585,0.514559262
-3.015928947,1.047180098,0,-0.859187877,-0.10854067,0.500015115
-3.015928947,1.064057432,0,-0.867437493,-0.109582839,0.485328545
-3.015928947,1.080934766,0,-0.875440031,-0.110593795,0.470503735
-3.015928947,1.0978121,0,-0.883193211,-0.111573249,0.455544907
-2.953097094,-0.589921287,0,0.546442091,0.104239404,0.830984469
-2.953097094,-0.573043953,0,0.532588537,0.101596697,0.840254463
-2.953097094,-0.556166619,0,0.518583281,0.098925052,0.84928512
-2.953097094,-0.539289286,0,0.504430314,0.096225229,0.858073869
-2.953097094,-0.522411952,0,0.490133666,0.093497997,0.866618206
-2.953097094,-0.505534618,0,0.475697409,0.090744134,0.874915697
-2.953097094,-0.488657284,0,0.461125656,0.087964423,0.88296398
-2.953097094,-0.47177995,0,0.446422556,0.085159657,0.890760761
-2.953097094,-0.454902616,0,0.431592299,0.082330634,0.89830382
-2.953097094,-0.438025282,0,0.416639109,0.079478161,0.905591009
-2.953097094,-0.421147949,0,0.401567243,0.076603049,0.912620251
-2.953097094,-0.404270615,0,0.386380996,0.073706117,0.919389544
-2.953097094,-0.387393281,0,0.371084694,0.070788191,0.925896961
-2.953097094,-0.370515947,0,0.355682692,0.067850102,0.932140647
-2.953097094,-0.353638613,0,0.340179379,0.064892687,0.938118825
-2.953097094,-0.336761279,0,0.32457917,0.061916788,0.943829791
-2.953097094,-0.319883945,0,0.308886508,0.058923253,0.949271919
-2.953097094,-0.303006611,0,0.293105864,0.055912934,0.954443658
-2.953097094,-0.286129278,0,0.277241732,0.052886689,0.959343536
-2.953097094,-0.269251944,0,0.261298632,0.04984538,0.963970157
-2.953097094,-0.25237461,0,0.245281103,0.046789873,0.968322203
-2.953097094,-0.235497276,0,0.22919371,0.043721038,0.972398434
-2.953097094,-0.218619942,0,0.213041033,0.040639751,0.976197689
-2.953097094,-0.201742608,0,0.196827675,0.037546887,0.979718887
-2.953097094,-0.184865274,0,0.180558252,0.034443329,0.982961024
-2.953097094,-0.167987941,0,0.1642374,0.03132996,0.985923177
-2.953097094,-0.151110607,0,0.147869766,0.028207667,0.988604501
-2.953097094,-0.134233273,0,0.131460014,0.025077339,0.991004234
-2.953097094,-0.117355939,0,0.115012817,0.021939868,0.993121691
-2.953097094,-0.100478605,0,0.09853286,0.018796148,0.994956271
-2.953097094,-0.083601271,0,0.082024837,0.015647075,0.996507449
-2.953097094,-0.066723937,0,0.065493451,0.012493544,0.997774784
-2.953097094,-0.049846603,0,0.048943409,0.009336455,0.998757915
